monika_kumari_video1.webm.mp4,6981,CALM:97.13667 | SURPRISED:6.3687034 | FEAR:5.9417586 | SAD:2.3355 | HAPPY:0.9570564 | CONFUSED:0.3841692 | ANGRY:0.32137793 | DISGUSTED:0.18831079 | ,width: 0.22105122 | height: 0.51715106left: 0.41357628 | top: 0.29031372
monika_kumari_video1.webm.mp4,7442,CALM:96.4286 | SURPRISED:6.3812227 | FEAR:5.988304 | SAD:2.240518 | HAPPY:2.0548186 | CONFUSED:0.24612951 | ANGRY:0.23141769 | DISGUSTED:0.17613205 | ,width: 0.21995068 | height: 0.5321443left: 0.41764396 | top: 0.2853731
monika_kumari_video1.webm.mp4,7969,CALM:62.01524 | HAPPY:23.391062 | SURPRISED:8.569693 | FEAR:6.5862527 | CONFUSED:3.3551362 | SAD:2.692591 | ANGRY:2.330708 | DISGUSTED:1.5163292 | ,width: 0.21172304 | height: 0.51380974left: 0.42319983 | top: 0.28765267
monika_kumari_video1.webm.mp4,8496,CALM:85.01129 | HAPPY:10.374221 | SURPRISED:6.603658 | FEAR:6.0852284 | SAD:2.653721 | CONFUSED:0.75137687 | ANGRY:0.6534756 | DISGUSTED:0.45243263 | ,width: 0.21333227 | height: 0.50762177left: 0.4227501 | top: 0.29133648
monika_kumari_video1.webm.mp4,8957,CALM:95.89719 | SURPRISED:6.3385396 | FEAR:5.9290013 | SAD:2.3937516 | HAPPY:2.3737664 | CONFUSED:0.26189104 | ANGRY:0.20698863 | DISGUSTED:0.1639865 | ,width: 0.21362439 | height: 0.49926287left: 0.4200192 | top: 0.29070652
monika_kumari_video1.webm.mp4,9484,CALM:88.82326 | HAPPY:6.832878 | SURPRISED:6.7515984 | FEAR:5.978582 | SAD:2.2312505 | CONFUSED:1.5062737 | ANGRY:0.93695486 | DISGUSTED:0.3923095 | ,width: 0.22239646 | height: 0.53309155left: 0.38687992 | top: 0.27362
monika_kumari_video1.webm.mp4,9945,SURPRISED:75.77031 | FEAR:25.618801 | CALM:13.617227 | ANGRY:5.3990526 | CONFUSED:3.881485 | DISGUSTED:3.3188198 | SAD:2.57771 | HAPPY:2.3716173 | ,width: 0.21982563 | height: 0.52911943left: 0.38331932 | top: 0.27547553
monika_kumari_video1.webm.mp4,10472,CALM:95.33615 | SURPRISED:6.4299107 | FEAR:5.939178 | HAPPY:2.5115688 | SAD:2.2981036 | CONFUSED:0.68883246 | ANGRY:0.31355911 | DISGUSTED:0.14142898 | ,width: 0.2167188 | height: 0.5093129left: 0.39601696 | top: 0.31483468
monika_kumari_video1.webm.mp4,10999,CALM:84.81655 | CONFUSED:7.8394413 | SURPRISED:6.8483024 | FEAR:6.3011804 | SAD:2.532928 | HAPPY:1.7377535 | ANGRY:1.5857401 | DISGUSTED:0.5917759 | ,width: 0.21028939 | height: 0.50652534left: 0.41916808 | top: 0.31531617
monika_kumari_video1.webm.mp4,11460,CALM:97.82817 | SURPRISED:6.325891 | FEAR:5.9405284 | SAD:2.3552957 | HAPPY:0.59692127 | CONFUSED:0.31972915 | ANGRY:0.16551618 | DISGUSTED:0.10361146 | ,width: 0.20576458 | height: 0.50493014left: 0.4214502 | top: 0.30198577
monika_kumari_video1.webm.mp4,11987,CALM:98.032196 | SURPRISED:6.3312306 | FEAR:5.944563 | SAD:2.275917 | HAPPY:0.7911709 | CONFUSED:0.16985354 | ANGRY:0.15303344 | DISGUSTED:0.0921681 | ,width: 0.21120349 | height: 0.4849423left: 0.40416965 | top: 0.31356862
monika_kumari_video1.webm.mp4,12448,CALM:75.189766 | SURPRISED:8.251128 | FEAR:7.999859 | HAPPY:7.8745046 | CONFUSED:3.684399 | SAD:2.5604177 | ANGRY:2.1683137 | DISGUSTED:1.4102465 | ,width: 0.21157265 | height: 0.4890427left: 0.40425664 | top: 0.31988946
monika_kumari_video1.webm.mp4,12975,CALM:93.311066 | SURPRISED:6.462252 | FEAR:5.9675875 | HAPPY:3.8389802 | SAD:2.4253244 | CONFUSED:0.5218842 | ANGRY:0.49724695 | DISGUSTED:0.29823437 | ,width: 0.20824023 | height: 0.5090615left: 0.41591364 | top: 0.30753082
monika_kumari_video1.webm.mp4,13436,CALM:92.343124 | SURPRISED:6.4659014 | FEAR:5.9728613 | HAPPY:4.8155775 | SAD:2.385256 | DISGUSTED:0.5208646 | CONFUSED:0.44595245 | ANGRY:0.44038305 | ,width: 0.20964918 | height: 0.50257164left: 0.41767597 | top: 0.3064698
monika_kumari_video1.webm.mp4,13963,HAPPY:96.466705 | SURPRISED:6.5611243 | FEAR:5.924386 | SAD:2.2208152 | CALM:1.5093218 | CONFUSED:0.5099481 | ANGRY:0.3276296 | DISGUSTED:0.21168096 | ,width: 0.20636721 | height: 0.52088046left: 0.43027687 | top: 0.3145218
monika_kumari_video1.webm.mp4,14490,HAPPY:93.597015 | SURPRISED:6.8856835 | FEAR:6.0208774 | CALM:2.51892 | SAD:2.2674 | DISGUSTED:0.7438423 | CONFUSED:0.62022156 | ANGRY:0.53995943 | ,width: 0.21471786 | height: 0.51955026left: 0.4242881 | top: 0.31707656
monika_kumari_video1.webm.mp4,14951,HAPPY:89.449814 | SURPRISED:7.3532977 | FEAR:6.1037946 | CALM:3.5261364 | SAD:2.3617396 | CONFUSED:1.5248188 | DISGUSTED:1.1076142 | ANGRY:1.0815529 | ,width: 0.21883631 | height: 0.5133111left: 0.42208415 | top: 0.31678313
